"ShareName"	"Owners"
"\\sanfs1\Enviro"	"POWERENG\FS-SANFS1-Enviro-Share-FC, POWERENG\FS-SANFS1-Enviro-Share-RW"
"\\sanfs1\Facilities_Mgmt"	"POWERENG\FS-SANFS1-Facilities_Mgmt-Share-FC, POWERENG\FS-SANFS1-Facilities_Mgmt-Share-RW"
"\\sanfs1\Lidar"	"POWERENG\FS-ALL-Lidar-Share-FC, POWERENG\FS-ALL-Lidar-Share-RW"
"\\sanfs1\Line"	"POWERENG\FS-SANFS1-Line-Share-FC, POWERENG\FS-SANFS1-Line-Share-RW"
"\\sanfs1\PD_DistMgmt"	"POWERENG\FS-ALL-PD_DistMgmt-Share-FC, POWERENG\FS-ALL-PD_DistMgmt-Share-RW"
"\\sanfs1\SAS"	"POWERENG\FS-SANFS1-SAS-Share-FC, POWERENG\FS-SANFS1-SAS-Share-RW"
"\\sanfs1\Shares$"	"Everyone"
"\\sanfs1\Substation"	"POWERENG\FS-SANFS1-Substation-Share-FC, POWERENG\FS-SANFS1-Substation-Share-RW"
"\\sanfs1\TnDpm"	"POWERENG\FS-SANFS1-TanDpm-Share-FC, POWERENG\FS-SANFS1-TanDpm-Share-RW"
"\\sanfs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\sanfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
