"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\SE4-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\SE4-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\SE4-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SE4-SMB01\Shares$\REPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SE4-SMB01\Shares$\REPLICATE\UpdateManager"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SE4-SMB01\Shares$\REPLICATE\UpdateManager"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SE4-SMB01\Shares$\REPLICATE\Archive"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SE4-SMB01\Shares$\REPLICATE\Archive"	"FullControl"	"Allow"	"POWERENG\FS-SE4FS1-Archive-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SE4-SMB01\Shares$\REPLICATE\Archive"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-SE4FS1-Archive-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SE4-SMB01\Shares$\REPLICATE\Archive"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-SE4FS1-Archive-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
