"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\SLC-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\SLC-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SLC-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SLC-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SLC-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"FullControl"	"Allow"	"POWERENG\FS-ALL-PD_DistMgmt-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-PD_DistMgmt-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\PD_DistMgmt"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-PD_DistMgmt-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\PD_DistMgmt\zUsers\NBOON\145383 - PSE PROJECT\BATCH 16\TLM REPORT\SCL Batch 16 Rev 0 100% Combined TLM Report.pdf"	"FullControl"	"Allow"	"POWERENG\nboon"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\PD_DistMgmt\zUsers\NBOON\145383 - PSE PROJECT\BATCH 16\VEGGIE MAP\SCL Batch 16 Rev 0 100% Combined Veg Maps.pdf"	"FullControl"	"Allow"	"POWERENG\nboon"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\PD_DistMgmt\zUsers\NBOON\145383 - PSE PROJECT\BATCH 29\ENVIRONMENTAL REVIEW\SCL Batch 29 Environmental Review.docx"	"FullControl"	"Allow"	"POWERENG\nboon"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\PD_DistMgmt\zUsers\NBOON\145383 - PSE PROJECT\BATCH 29\TLM REPORT\SCL Batch 29 Rev 0 100% Combined TLM Report.pdf"	"FullControl"	"Allow"	"POWERENG\nboon"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\PD_DistMgmt\zUsers\NBOON\145383 - PSE PROJECT\BATCH 29\VEGGIE MAP\SCL Batch 29 Rev 0 100% Combined Vegetation Map.pdf"	"FullControl"	"Allow"	"POWERENG\nboon"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\PD_DistMgmt\zUsers\NBOON\145383 - PSE PROJECT\BATCH 37\SCL Batch 37 TLM Verification Sheet.docx"	"FullControl"	"Allow"	"POWERENG\nboon"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\PD_DistMgmt\zUsers\NBOON\145383 - PSE PROJECT\BATCH 40\SEWER CARDS\SCL Batch 40 Rev 0 100% Combined Sewer Cards.pdf"	"FullControl"	"Allow"	"POWERENG\nboon"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\PD_DistMgmt\zUsers\NBOON\145383 - PSE PROJECT\BATCH 40\VEGGIE MAP\SCL Batch 40 Rev 0 100% Combined Vegetation Maps.pdf"	"FullControl"	"Allow"	"POWERENG\nboon"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\Environmental"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\Environmental"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Environmental-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
