"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\STL-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\STL-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\STL-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\NONREPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\NONREPLICATE\UpdateManager"	"FullControl"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\NONREPLICATE\UpdateManager"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\NONREPLICATE\UpdateManager"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-UpdateManager-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\bd"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\bd"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-STLFS1-BD-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\bd"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-STLFS1-BD-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\bd"	"FullControl"	"Allow"	"POWERENG\FS-STLFS1-BD-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\bd\T&D_Div_Docs"	"Modify, Synchronize"	"Allow"	"POWERENG\rgrass"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\bd\T&D_Div_Docs"	"Modify, Synchronize"	"Allow"	"POWERENG\kramsay"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\bd\T&D_Div_Docs"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\cad"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\cad"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-STLFS1-CAD-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\cad"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-STLFS1-CAD-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\cad"	"FullControl"	"Allow"	"POWERENG\FS-STLFS1-CAD-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\facilities"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\facilities"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-STLFS1-Facilities-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\facilities"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-STLFS1-Facilities-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\facilities"	"FullControl"	"Allow"	"POWERENG\FS-STLFS1-Facilities-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\itops"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\itops"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-STLFS1-ITops-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\itops"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-STLFS1-ITops-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\itops"	"FullControl"	"Allow"	"POWERENG\FS-STLFS1-ITops-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\line"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\line"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-STLFS1-Line-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\line"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-STLFS1-Line-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\line"	"FullControl"	"Allow"	"POWERENG\FS-STLFS1-Line-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\line\00-DMS Upload\zElectronic Signatures"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\line\00-DMS Upload\zElectronic Signatures"	"FullControl"	"Allow"	"POWERENG\FS-STLFS1-Line-Share-zElecSignatures-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\line\00-DMS Upload\zElectronic Signatures"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-STLFS1-Line-Share-zElecSignatures-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\line\00-DMS Upload\zElectronic Signatures"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-STLFS1-Line-Share-zElecSignatures-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\line\Manpower\Recruiting"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\line\Manpower\Recruiting"	"FullControl"	"Allow"	"POWERENG\FS-STLFS1-Line-Share-Recruiting-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\STL-SMB01\Shares$\REPLICATE\line\Manpower\Recruiting"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-STLFS1-Line-Share-Recruiting-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
