"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\stlfs1\BD"	"5794"	"58043"	"110024302962"	"1038"	"2611826012"	"57005"	"107412476950"	"55629"	"87206475354"	"53046"	"84862405336"	"50680"	"82053731826"	"47479"	"78093016475"	"44413"	"73893969770"	"41230"	"68198479255"	"37167"	"62232928443"	"31310"	"55214062947"	"25395"	"38216603298"
"\\stlfs1\CAD"	"694"	"14241"	"6741578653"	"2"	"22818"	"14239"	"6741555835"	"14237"	"6741510567"	"14236"	"6741445031"	"14232"	"6740289197"	"14222"	"6738470870"	"14209"	"6738171778"	"14185"	"6736708528"	"14167"	"6735531068"	"14102"	"6129244218"	"14080"	"6016975204"
"\\stlfs1\Facilities"	"527"	"3003"	"3978008036"	"0"	"0"	"3003"	"3978008036"	"3003"	"3978008036"	"3002"	"3978008036"	"3002"	"3978008036"	"3002"	"3978008036"	"3002"	"3978008036"	"3002"	"3978008036"	"3002"	"3978008036"	"3002"	"3978008036"	"2223"	"2110578605"
"\\stlfs1\ITops"	"228"	"56181"	"4890669502"	"0"	"0"	"56181"	"4890669502"	"56180"	"4889610686"	"53700"	"4633247233"	"1647"	"4144397966"	"727"	"2159320579"	"416"	"1284236716"	"414"	"1120904063"	"414"	"1120904063"	"414"	"1120904063"	"413"	"1118350719"
"\\stlfs1\Lidar"	"18050"	"441635"	"7333697286273"	"21204"	"312620259742"	"420431"	"7021077026531"	"415401"	"6899913768076"	"407140"	"6643047441268"	"366049"	"5773469524211"	"268830"	"4229769625905"	"225451"	"3496261691759"	"190065"	"3185825956315"	"166423"	"2941678623453"	"125778"	"2725298754778"	"99165"	"2600374617587"
"\\stlfs1\Line"	"213728"	"3993763"	"21511162717454"	"106974"	"817589326721"	"3886789"	"20693573390733"	"3747894"	"19359021556893"	"3397608"	"18199132341815"	"3146144"	"17029658509070"	"2823707"	"14149830481587"	"2467725"	"10325959822903"	"2129115"	"8656334951873"	"1852331"	"6968416532951"	"1592875"	"5374596418234"	"1392552"	"4407061477299"
"\\stlfs1\PD_DistMgmt"	"11469"	"68608"	"188422824221"	"734"	"2467569722"	"67874"	"185955254499"	"67513"	"175322261820"	"66171"	"170343042075"	"61183"	"159284440419"	"55929"	"142196935709"	"42537"	"111384138374"	"32853"	"91524656439"	"19793"	"69106381805"	"17095"	"59304387967"	"15620"	"57292894114"
"\\stlfs1\Shares$"	"5798"	"166390"	"33295437739"	"344"	"3946434975"	"166046"	"29349002764"	"163690"	"17789112384"	"145686"	"11330395035"	"139457"	"9984712920"	"135814"	"7950787612"	"103708"	"7079041762"	"86255"	"5752234156"	"82472"	"5197074477"	"80671"	"4967052475"	"72670"	"4502060766"
"\\stlfs1\Substation"	"110242"	"1503149"	"2847596350705"	"257618"	"441153511082"	"1245531"	"2406442839623"	"1074174"	"2007466331034"	"961573"	"1750914510005"	"862343"	"1536110233575"	"773194"	"1321286848672"	"673060"	"1105503880851"	"600054"	"1037255572419"	"410585"	"629744550646"	"301012"	"290092364647"	"240333"	"157732912792"
"\\stlfs1\TDmgmt"	"3589"	"47970"	"52811916711"	"704"	"731883624"	"47266"	"52080033087"	"45481"	"49664340437"	"45241"	"49390056935"	"45166"	"49351466520"	"45108"	"49218795955"	"44955"	"49098807993"	"44791"	"48904489229"	"44270"	"48575961668"	"43555"	"42639773192"	"42968"	"41670369988"
"\\stlfs1\UpdateManager"	"5922"	"175026"	"29553555577"	"4013"	"4403237088"	"171013"	"25150318489"	"168857"	"17694631725"	"150851"	"11458272564"	"140210"	"10010813828"	"136576"	"7986991962"	"103853"	"7093318713"	"86378"	"5759756897"	"82588"	"5205567171"	"80772"	"4975291772"	"72602"	"4491361569"
"\\stlfs1\Xchange"	"32"	"3"	"13906991"	"0"	"0"	"3"	"13906991"	"3"	"13906991"	"3"	"13906991"	"3"	"13906991"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
