"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\SYR-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\SYR-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\SYR-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SYR-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SYR-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SYR-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SYR-SMB01\Shares$\REPLICATE\line"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SYR-SMB01\Shares$\REPLICATE\line"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-SYRFS1-Line-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SYR-SMB01\Shares$\REPLICATE\line"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-SYRFS1-Line-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SYR-SMB01\Shares$\REPLICATE\line"	"FullControl"	"Allow"	"POWERENG\FS-SYRFS1-Line-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SYR-SMB01\Shares$\REPLICATE\line\Projects\129222"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SYR-SMB01\Shares$\REPLICATE\line\Projects\129222"	"FullControl"	"Allow"	"POWERENG\FS-SYRFS1-Line-Share-129222-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SYR-SMB01\Shares$\REPLICATE\line\Projects\129222"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-SYRFS1-Line-Share-129222-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\SYR-SMB01\Shares$\REPLICATE\line\Projects\129222"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-SYRFS1-Line-Share-129222-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
