"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\VAN-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\VAN-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\VAN-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\Corp_PTE"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\Corp_PTE"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-Corp_PTE-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\Corp_PTE"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-Corp_PTE-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\Corp_PTE"	"FullControl"	"Allow"	"POWERENG\FS-VANFS1-Corp_PTE-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\Software"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\Software"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-Software-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\Software"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-Software-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\Software"	"FullControl"	"Allow"	"POWERENG\FS-VANFS1-Software-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting"	"FullControl"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Avangrid Big Tree"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Avangrid Big Tree"	"FullControl"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-Avangrid-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Avangrid Big Tree"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-Avangrid-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Avangrid Big Tree"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-Avangrid-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\David Bascom"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\David Bascom"	"FullControl"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-David Bascom-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\David Bascom"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-David Bascom-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\David Bascom"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-David Bascom-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Ops_Admin"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Ops_Admin"	"FullControl"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-Ops_Admin-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Ops_Admin"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-Ops_Admin-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Ops_Admin"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-Ops_Admin-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Project_Manager_Files"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Project_Manager_Files"	"FullControl"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-ProjMgmtFiles-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Project_Manager_Files"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-ProjMgmtFiles-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Project_Manager_Files"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-ProjMgmtFiles-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\PTE_E_RECORDS"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\PTE_E_RECORDS"	"FullControl"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-PTE_E_RECORDS-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\PTE_E_RECORDS"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-PTE_E_RECORDS-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\PTE_E_RECORDS"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-PTE_E_RECORDS-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\PTE_SAFETY_TECHNICAL_TRAINING\QAQC_Document_Management"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\PTE_SAFETY_TECHNICAL_TRAINING\QAQC_Document_Management"	"FullControl"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-QAQC_DocMgmt-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\PTE_SAFETY_TECHNICAL_TRAINING\QAQC_Document_Management"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-QAQC_DocMgmt-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\PTE_SAFETY_TECHNICAL_TRAINING\QAQC_Document_Management"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-QAQC_DocMgmt-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Silver Run Project"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Silver Run Project"	"FullControl"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-SilverRunProject-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Silver Run Project"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-SilverRunProject-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\Silver Run Project"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-SilverRunProject-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\zusers\CZavadlov"	"Modify, Synchronize"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-2049"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\zusers\CZavadlov"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\zusers\Old users\GPainter"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\zusers\Old users\GPainter"	"FullControl"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-GPainter-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\VAN-SMB01\Shares$\REPLICATE\TnDtesting\zusers\Old users\GPainter"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-VANFS1-TnDtesting-Share-GPainter-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
