"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\CDC-SVMAFS01\Reference"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Reference-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Reference-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Reference-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\Ops IT Infrastructure Dept-adm"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest"	"Modify, Synchronize"	"Allow"	"POWERENG\kbriney"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest"	"Write, ReadAndExecute, Synchronize"	"Allow"	"POWERENG\arigby"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest"	"Write, ReadAndExecute, Synchronize"	"Allow"	"POWERENG\presidio"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\Ops IT Systems Administration Dept"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\Ops IT Systems Engineering Dept"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest"	"Modify, Synchronize"	"Allow"	"POWERENG\jepoole"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest\Results"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\jlohff"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest\Results"	"Modify, Synchronize"	"Allow"	"POWERENG\jsteiner"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest\Results"	"Modify, Synchronize"	"Allow"	"POWERENG\aokelly"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest\Results"	"Modify, Synchronize"	"Allow"	"POWERENG\Ops IT Infrastructure Dept-adm"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest\Results"	"Modify, Synchronize"	"Allow"	"POWERENG\arigby"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest\Results"	"Modify, Synchronize"	"Allow"	"POWERENG\presidio"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest\Results"	"Modify, Synchronize"	"Allow"	"POWERENG\Ops IT Systems Administration Dept"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\Reference\PerfTest\Results"	"Modify, Synchronize"	"Allow"	"POWERENG\Ops IT Systems Engineering Dept"	"ContainerInherit, ObjectInherit"	"None"
