"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\CDC-SVMAFS01\SAW"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-SAW-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-SAW-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-SAW-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\AWMA\2020\2020 07_Gregg Eckhert SAWS Mitchell Lake Wetlands\Mitchell_Lake_for_AWMA_20200716.pptx"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\Conferences\SCIECA Grapevine 2018\gwgv_folio1363908324.pdf"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\Proposals 2019\City of White Settlement\Addendum 01 RFQ 2019-001.pdf"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\Proposals 2019\City of White Settlement\Addendum 02 RFQ 2019-001.pdf"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\Proposals 2019\CPS Energy\Collective 7000154891_Env Comp Trg\Collective 7000154891.docx"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\Proposals 2019\CPS Energy\Collective 7000156605_Env Permitting\Collective 7000156606.docx"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\Proposals 2019\USAA\RE_ POWER Engineers, Inc. [Confidential].eml"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\Proposals 2020\City of Bowling Green\City of BG Vendor Form.pdf"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\Proposals 2020\City of Bowling Green\COBG Class V Injection Well Oversight Program.zip"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\Proposals 2020\City of Bowling Green\Context Information.zip"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\Proposals 2020\City of Bowling Green\Final SWQMP City of Bowling Green 2018.pdf"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\Proposals 2020\Hermes Law\KELLEY - Documents for Julie Morelli.zip"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\Proposals 2020\New Braunfels\RFP 02545 Environmental and Cultural Services Posted.pdf"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\Proposals 2020\RiverBank\Hickory Creek 60% Planset 6MAR2019.pdf"	"FullControl"	"Allow"	"POWERENG\rbayer"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAMarketing\Proposals 2020\San Antonio River Authority\rg-348.pdf"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAProjects\01_Resources\NWI\Wetlands-Data.kml"	"FullControl"	"Allow"	"POWERENG\rbayer"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAProjects\01_Resources\PFAS\ATE_PFAS_Basics_Feb2020.pdf"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAProjects\01_Resources\Stormwater\Oklahoma\Stormwater\Construction Stormwater\A. SWPPP Template\DEQ Construction SWP3 Template.docx"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAProjects\01_Resources\Stormwater\Oklahoma\Stormwater\Construction Stormwater\B. Regulations, Pemit and Forms\DEQ Templates for All Reports.docx"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAProjects\01_Resources\Stormwater\Oklahoma\Stormwater\Construction Stormwater\B. Regulations, Pemit and Forms\Employee Training Report.docx"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAProjects\01_Resources\Stormwater\Oklahoma\Stormwater\Construction Stormwater\B. Regulations, Pemit and Forms\Final CGP 2017.pdf"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAProjects\01_Resources\Stormwater\Oklahoma\Stormwater\Construction Stormwater\B. Regulations, Pemit and Forms\Grading and Stabilization Log.docx"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAProjects\01_Resources\Stormwater\Oklahoma\Stormwater\Construction Stormwater\B. Regulations, Pemit and Forms\Inspection Report.docx"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
"\\?\UNC\CDC-SVMAFS01\SAW\San_Antonio_Resources\SAProjects\01_Resources\Stormwater\Oklahoma\Stormwater\Construction Stormwater\B. Regulations, Pemit and Forms\Notice of Termination-NOT.pdf"	"FullControl"	"Allow"	"POWERENG\jmorelli"	"None"	"None"
