"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\CDC-SVMAFS01\SQL_DB_Backups"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\SQL_DB_Backups"	"FullControl"	"Allow"	"POWERENG\FS-CDCFS1-SQL_DB_Backups-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\SQL_DB_Backups"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-SQL_DB_Backups-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\SQL_DB_Backups"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-CDCFS1-SQL_DB_Backups-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\SQL_DB_Backups\Bitwarden"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\SQL_DB_Backups\Bitwarden"	"FullControl"	"Allow"	"POWERENG\FS-ALL-SQL_DB_Backups-Share-Bitwarden-Folder-01-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\SQL_DB_Backups\Bitwarden"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-SQL_DB_Backups-Share-Bitwarden-Folder-01-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\SQL_DB_Backups\Bitwarden"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-SQL_DB_Backups-Share-Bitwarden-Folder-01-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\SQL_DB_Backups\SqlServer\Backups\DDC-BIMSTN01"	"FullControl"	"Allow"	"POWERENG\srvc-sql01"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\CDC-SVMAFS01\SQL_DB_Backups\SqlServer\Backups\ddcsqlS3d-16"	"FullControl"	"Allow"	"POWERENG\SRVCCAE"	"ContainerInherit, ObjectInherit"	"None"
