"Cluster"	"Vserver"	"CifsServer"	"FS1Alias"	"ShareName"	"Path"	"UNCPath"
"AT4-NTAP01"	"AT4-SMB01"	"AT4-SMB01"	"at4fs1"	"Shares$"	"/Shares"	"\\?\UNC\at4fs1\Shares$"
"AT4-NTAP01"	"AT4-SMB01"	"AT4-SMB01"	"at4fs1"	"Xchange"	"/Shares/NONREPLICATE/Xchange"	"\\?\UNC\at4fs1\Xchange"
"AT4-NTAP01"	"AT4-SMB01"	"AT4-SMB01"	"at4fs1"	"UpdateManager"	"/Shares/REPLICATE/UpdateManager"	"\\?\UNC\at4fs1\UpdateManager"
"AT4-NTAP01"	"ATL-SMB01"	"ATL-SMB01"	"atlfs1"	"Shares$"	"/Shares"	"\\?\UNC\atlfs1\Shares$"
"AT4-NTAP01"	"ATL-SMB01"	"ATL-SMB01"	"atlfs1"	"Xchange"	"/Shares/NONREPLICATE/Xchange"	"\\?\UNC\atlfs1\Xchange"
"AT4-NTAP01"	"ATL-SMB01"	"ATL-SMB01"	"atlfs1"	"FAC_Elec-Cntls"	"/Shares/REPLICATE/FAC_Elec-cntls"	"\\?\UNC\atlfs1\FAC_Elec-Cntls"
"AT4-NTAP01"	"ATL-SMB01"	"ATL-SMB01"	"atlfs1"	"FAC_Proj_Mgmt"	"/Shares/REPLICATE/FAC_Proj_Mgmt"	"\\?\UNC\atlfs1\FAC_Proj_Mgmt"
"AT4-NTAP01"	"ATL-SMB01"	"ATL-SMB01"	"atlfs1"	"FAC_Shared"	"/Shares/REPLICATE/FAC_Shared"	"\\?\UNC\atlfs1\FAC_Shared"
"AT4-NTAP01"	"ATL-SMB01"	"ATL-SMB01"	"atlfs1"	"Generation"	"/Shares/REPLICATE/generation"	"\\?\UNC\atlfs1\Generation"
"AT4-NTAP01"	"ATL-SMB01"	"ATL-SMB01"	"atlfs1"	"MultiDept"	"/Shares/REPLICATE/MultiDept"	"\\?\UNC\atlfs1\MultiDept"
"AT4-NTAP01"	"ATL-SMB01"	"ATL-SMB01"	"atlfs1"	"PTE"	"/Shares/REPLICATE/PTE"	"\\?\UNC\atlfs1\PTE"
"AT4-NTAP01"	"ATL-SMB01"	"ATL-SMB01"	"atlfs1"	"Standards"	"/Shares/REPLICATE/Standards"	"\\?\UNC\atlfs1\Standards"
"AT4-NTAP01"	"ATL-SMB01"	"ATL-SMB01"	"atlfs1"	"Studies"	"/Shares/REPLICATE/Studies"	"\\?\UNC\atlfs1\Studies"
"AT4-NTAP01"	"ATL-SMB01"	"ATL-SMB01"	"atlfs1"	"Substation"	"/Shares/REPLICATE/Substation"	"\\?\UNC\atlfs1\Substation"
"AT4-NTAP01"	"ATL-SMB01"	"ATL-SMB01"	"atlfs1"	"TanDpm"	"/Shares/REPLICATE/TanDpm"	"\\?\UNC\atlfs1\TanDpm"
"AT4-NTAP01"	"ATL-SMB01"	"ATL-SMB01"	"atlfs1"	"UpdateManager"	"/Shares/REPLICATE/UpdateManager"	"\\?\UNC\atlfs1\UpdateManager"
"AT4-NTAP01"	"BIR-SMB01"	"BIR-SMB01"	"birfs1"	"Shares$"	"/Shares"	"\\?\UNC\birfs1\Shares$"
"AT4-NTAP01"	"BIR-SMB01"	"BIR-SMB01"	"birfs1"	"Xchange"	"/Shares/NONREPLICATE/Xchange"	"\\?\UNC\birfs1\Xchange"
"AT4-NTAP01"	"BIR-SMB01"	"BIR-SMB01"	"birfs1"	"Hardy_Archive"	"/Shares/REPLICATE/Hardy_Archive"	"\\?\UNC\birfs1\Hardy_Archive"
"AT4-NTAP01"	"BIR-SMB01"	"BIR-SMB01"	"birfs1"	"Projects"	"/Shares/REPLICATE/Projects"	"\\?\UNC\birfs1\Projects"
"AT4-NTAP01"	"FMC-SMB01"	"FMC-SMB01"	"fmcfs1"	"Shares$"	"/Shares"	"\\?\UNC\fmcfs1\Shares$"
"AT4-NTAP01"	"FMC-SMB01"	"FMC-SMB01"	"fmcfs1"	"Xchange"	"/Shares/NONREPLICATE/Xchange"	"\\?\UNC\fmcfs1\Xchange"
"AT4-NTAP01"	"FMC-SMB01"	"FMC-SMB01"	"fmcfs1"	"Line"	"/Shares/REPLICATE/Line"	"\\?\UNC\fmcfs1\Line"
"AT4-NTAP01"	"FMC-SMB01"	"FMC-SMB01"	"fmcfs1"	"SAS"	"/Shares/REPLICATE/SAS"	"\\?\UNC\fmcfs1\SAS"
"AT4-NTAP01"	"FMC-SMB01"	"FMC-SMB01"	"fmcfs1"	"Substation"	"/Shares/REPLICATE/Substation"	"\\?\UNC\fmcfs1\Substation"
"AT4-NTAP01"	"FMC-SMB01"	"FMC-SMB01"	"fmcfs1"	"UpdateManager"	"/Shares/REPLICATE/UpdateManager"	"\\?\UNC\fmcfs1\UpdateManager"
"AT4-NTAP01"	"FTL-SMB01"	"FTL-SMB01"	"ftlfs1"	"Shares$"	"/Shares"	"\\?\UNC\ftlfs1\Shares$"
"AT4-NTAP01"	"FTL-SMB01"	"FTL-SMB01"	"ftlfs1"	"Xchange"	"/Shares/NONREPLICATE/Xchange"	"\\?\UNC\ftlfs1\Xchange"
"AT4-NTAP01"	"FTL-SMB01"	"FTL-SMB01"	"ftlfs1"	"Environmental"	"/Shares/REPLICATE/Environmental"	"\\?\UNC\ftlfs1\Environmental"
"AT4-NTAP01"	"FTL-SMB01"	"FTL-SMB01"	"ftlfs1"	"Line"	"/Shares/REPLICATE/Line"	"\\?\UNC\ftlfs1\Line"
"AT4-NTAP01"	"FTL-SMB01"	"FTL-SMB01"	"ftlfs1"	"PD_DistMgmt"	"/Shares/REPLICATE/PD_DistMgmt"	"\\?\UNC\ftlfs1\PD_DistMgmt"
"AT4-NTAP01"	"FTL-SMB01"	"FTL-SMB01"	"ftlfs1"	"Substation"	"/Shares/REPLICATE/Substation"	"\\?\UNC\ftlfs1\Substation"
"AT4-NTAP01"	"ORL-SMB01"	"ORL-SMB01"	"orlfs1"	"Shares$"	"/Shares"	"\\?\UNC\orlfs1\Shares$"
