"Acl"	"AttributeCacheTtl"	"CifsServer"	"Comment"	"DirUmask"	"FileUmask"	"ForceGroupForCreate"	"MaxConnectionsPerShare"	"NcController"	"OfflineFilesMode"	"Path"	"ShareName"	"ShareProperties"	"SymlinkProperties"	"Volume"	"VscanFileopProfile"	"Vserver"	"AttributeCacheTtlSpecified"	"DirUmaskSpecified"	"FileUmaskSpecified"	"MaxConnectionsPerShareSpecified"
"System.String[]"		"AT4-SMB01"					"4294967295"	"AT4-NTAP01"	"manual"	"/Shares"	"Shares$"	"System.String[]"	"System.String[]"	"JP_vol_Shares"	"standard"	"AT4-SMB01"	"False"	"False"	"False"	"True"
"System.String[]"		"AT4-SMB01"					"4294967295"	"AT4-NTAP01"	"manual"	"/Shares/NONREPLICATE/Xchange"	"Xchange"	"System.String[]"	"System.String[]"	"vol_SMB_NONREPLICATE_01"	"standard"	"AT4-SMB01"	"False"	"False"	"False"	"True"
"System.String[]"		"AT4-SMB01"					"4294967295"	"AT4-NTAP01"	"manual"	"/Shares/REPLICATE/UpdateManager"	"UpdateManager"	"System.String[]"	"System.String[]"	"vol_SMB_REPLICATE_01"	"standard"	"AT4-SMB01"	"False"	"False"	"False"	"True"
"System.String[]"		"ATL-SMB01"					"4294967295"	"AT4-NTAP01"	"manual"	"/Shares"	"Shares$"	"System.String[]"	"System.String[]"	"JP_vol_Shares"	"standard"	"ATL-SMB01"	"False"	"False"	"False"	"True"
"System.String[]"		"ATL-SMB01"					"4294967295"	"AT4-NTAP01"	"manual"	"/Shares/NONREPLICATE/Xchange"	"Xchange"	"System.String[]"	"System.String[]"	"vol_SMB_NONREPLICATE_01"	"standard"	"ATL-SMB01"	"False"	"False"	"False"	"True"
"System.String[]"		"ATL-SMB01"					"4294967295"	"AT4-NTAP01"	"manual"	"/Shares/REPLICATE/FAC_Elec-cntls"	"FAC_Elec-Cntls"	"System.String[]"	"System.String[]"	"vol_SMB_REPLICATE_01"	"standard"	"ATL-SMB01"	"False"	"False"	"False"	"True"
"System.String[]"		"ATL-SMB01"					"4294967295"	"AT4-NTAP01"	"manual"	"/Shares/REPLICATE/FAC_Proj_Mgmt"	"FAC_Proj_Mgmt"	"System.String[]"	"System.String[]"	"vol_SMB_REPLICATE_01"	"standard"	"ATL-SMB01"	"False"	"False"	"False"	"True"
"System.String[]"		"ATL-SMB01"					"4294967295"	"AT4-NTAP01"	"manual"	"/Shares/REPLICATE/FAC_Shared"	"FAC_Shared"	"System.String[]"	"System.String[]"	"vol_SMB_REPLICATE_01"	"standard"	"ATL-SMB01"	"False"	"False"	"False"	"True"
"System.String[]"		"ATL-SMB01"					"4294967295"	"AT4-NTAP01"	"manual"	"/Shares/REPLICATE/generation"	"Generation"	"System.String[]"	"System.String[]"	"vol_SMB_REPLICATE_01"	"standard"	"ATL-SMB01"	"False"	"False"	"False"	"True"
"System.String[]"		"ATL-SMB01"					"4294967295"	"AT4-NTAP01"	"manual"	"/Shares/REPLICATE/MultiDept"	"MultiDept"	"System.String[]"	"System.String[]"	"vol_SMB_REPLICATE_01"	"standard"	"ATL-SMB01"	"False"	"False"	"False"	"True"
