red,BM,loc,comentario,categoria,rootnet,NetIPN,Mask,MaskedNetIPN
4.1.43.32,29,VAN,"WAN BLOCK",public,0,67185440,4294967288,67185440
4.1.212.224,29,APL,"WAN BLOCK",public,0,67228896,4294967288,67228896
4.2.121.224,28,CH3,"AS 3356",public,0,67271136,4294967280,67271136
4.2.228.12,30,RIC,"LAN BLOCK",public,0,67298316,4294967292,67298316
4.4.75.72,29,DEN,"LAN BLOCK",public,1,67390280,4294967288,67390280
4.4.75.72,31,DEN,NULL,public,0,67390280,4294967294,67390280
4.4.75.74,31,DEN,NULL,public,0,67390282,4294967294,67390282
4.4.75.76,31,DEN,NULL,public,0,67390284,4294967294,67390284
4.4.75.78,31,DEN,NULL,public,0,67390286,4294967294,67390286
4.7.154.8,30,CIN,"LAN BLOCK",public,0,67607048,4294967292,67607048
4.7.193.116,30,APL,"LAN BLOCK",public,0,67617140,4294967292,67617140
4.8.92.0,29,SAT,"WAN BLOCK",public,0,67656704,4294967288,67656704
4.8.107.224,29,RIC,"WAN BLOCK",public,0,67660768,4294967288,67660768
4.8.135.208,29,MIN,"WAN BLOCK",public,0,67667920,4294967288,67667920
4.8.205.120,29,BIL,"WAN BLOCK",public,0,67685752,4294967288,67685752
4.8.217.56,29,PHX,"WAN BLOCK",public,0,67688760,4294967288,67688760
4.8.229.208,29,CLK,"WAN BLOCK",public,0,67691984,4294967288,67691984
4.17.252.236,30,VAN,"LAN BLOCK",public,0,68287724,4294967292,68287724
4.18.111.8,29,PHX,"LAN BLOCK",public,0,68316936,4294967288,68316936
4.28.95.24,29,STL,"LAN BLOCK",public,1,68968216,4294967288,68968216
4.28.95.24,31,STL,NULL,public,0,68968216,4294967294,68968216
4.28.95.26,31,STL,NULL,public,0,68968218,4294967294,68968218
4.28.95.28,31,STL,NULL,public,0,68968220,4294967294,68968220
4.28.95.30,31,STL,NULL,public,0,68968222,4294967294,68968222
4.36.87.100,30,MIN,"LAN BLOCK",public,0,69490532,4294967292,69490532
4.36.223.192,29,HLY,"WAN BLOCK",public,0,69525440,4294967288,69525440
4.36.223.192,29,HLY,"WAN BLOCK",public,1,69525440,4294967288,69525440
4.36.223.200,29,HLY,"LAN BLOCK",public,1,69525448,4294967288,69525448
4.36.223.200,31,HLY,NULL,public,0,69525448,4294967294,69525448
4.36.223.202,31,HLY,NULL,public,0,69525450,4294967294,69525450
4.36.223.204,31,HLY,NULL,public,0,69525452,4294967294,69525452
4.36.223.206,31,HLY,NULL,public,0,69525454,4294967294,69525454
4.37.29.200,30,COL,"LAN BLOCK",public,0,69541320,4294967292,69541320
