"PWPath"	"AttribName"	"TypeName"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"a_attrno"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"appendix"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"approval_id_QAQC"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"blank01"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"blank02"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"blank03"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"blank04"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"blank05"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"calc_type1"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"calc_type2"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"checklist_id_QAQC"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"contract_agreement_type01"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"contract_counterprty"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"contract_coversheet"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"contract_date"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"contract_division"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"contract_effectdate"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"contract_exhibits"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"contract_expdate"	"String"
