Cluster	VServer	Volume	Retention
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_ADC_SVMA01_vol_SMB_REPLICATE_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BIL_SVMA01_vol_SMB_REPLICATE_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA01_vol_dr_vmware_SAS_01	14 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_Accounting_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_AEP_OE_Projects_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_BKK_data_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_DRP_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_Env_GIS_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_Enviro_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_FAC_Elec_Cntls_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_FAC_Shared_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_Facilities_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_Federal_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_Generation_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_GIS_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_GIS_data_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_GIS_softdist_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_GTAudit_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_HRBenefits_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_INDadmin_01	180 days
BDC-CDOTCLST01	DDC-SNAPLOCK01	SL_vol_BOI_SVMA02_vol_SMB_IndustPM_01	180 days
