Office	DCName	TestHost	ServerName	DateTime	Description	Latency	SmallFileBytesRead	SmallFileReadTime	SmallFileMbps	SmallFileAverageMS	SmallFileMSStdDev	SmallFileMSVariance	MediumFileBytesRead	MediumFileReadTime	MediumFileMbps	MediumFileAverageMS	MediumFileMSStdDev	MediumFileMSVariance	LargeFileBytesRead	LargeFileReadTime	LargeFileMbps	LargeFileAverageMS	LargeFileMSStdDev	LargeFileMSVariance
AIR	CDC	51285L	CDCFS1	20230430-0919	Post SDWAN conversion	57.88	376840	8110.7903	0.371692509	405.539515	26.80074145	6.608663387	96469000	49669.627	15.53770476	2483.48135	937.7528306	37.75960833	771751935	223011.1271	27.68478668	44602.22542	5410.640003	12.13087453
AIR	CH3	51285L	CH3FS1	20230430-0929	Post SDWAN conversion	57.92	376840	8057.2521	0.374162303	402.862605	29.70782207	7.37418209	96469000	45369.1432	17.01050418	2268.45716	772.3568611	34.04767235	771751935	207469.1413	29.75871709	41493.82826	1901.37456	4.582306911
AIR	DA11	51285L	DA11FS1	20230430-0939	Post SDWAN conversion	63.88	376840	8875.1646	0.339680461	443.75823	31.17647711	7.025554684	96469000	33114.1078	23.30583704	1655.70539	526.0423486	31.7714946	771751935	98095.4262	62.93887207	19619.08524	96.98907454	0.49436084
AIR	DDC	51285L	DDCFS1	20230430-0924	Post SDWAN conversion	58.72	376840	8268.5101	0.364602566	413.425505	37.32600588	9.02847198	96469000	55790.6335	13.83300299	2789.531675	1167.565814	41.85526282	771751935	212604.3298	29.03993294	42520.86596	1071.558995	2.520078016
AIR	LAS04	51285L	LAS04FS1	20230430-0936	Post SDWAN conversion	65.32	376840	9091.2256	0.331607655	454.56128	33.09062755	7.279684612	96469000	34879.8187	22.12603244	1743.990935	563.0068052	32.2826681	771751935	102571.914	60.19206661	20514.3828	486.5925789	2.37195817
AIR	SE4	51285L	SE4FS1	20230430-0934	Post SDWAN conversion	27.6	376840	3919.5395	0.76915158	195.976975	15.37491225	7.845264604	96469000	15513.5619	49.74692498	775.678095	232.5340916	29.97816918	771751935	48775.8332	126.5793955	9755.16664	77.82886482	0.797821992
AIR	YYC01	51285L	ADCFS1	20230430-0912	Post SDWAN conversion	98.04	376840	11514.5909	0.261817378	575.729545	148.2395457	25.74812201	96469000	53366.4162	14.46137955	2668.32081	927.249511	34.75030092	771751935	322869.8982	19.12230132	64573.97964	11029.47972	17.08037786
AR2	CDC	51285L	CDCFS1	20230430-1122	Post SDWAN conversion	76.04	376840	9527.3045	0.316429479	476.365225	17.7464555	3.72538854	96469000	164119.4617	4.702379547	8205.973085	3053.997973	37.2167681	617401548	925499.7025	5.33680602	231374.9256	2355.327916	1.017970253
AR2	YYC01	51285L	ADCFS1	20230430-1108	Post SDWAN conversion	39.16	376840	5536.5526	0.544512121	276.82763	20.41792732	7.375682592	96469000	95536.7215	8.07806661	4776.836075	516.8665781	10.82027036	771751935	706563.6232	8.738088514	141312.7246	2661.011816	1.883065961
ARB	AT4	47542L	AT4FS1	20230822-1703	Post SDWAN conversion	31.4	376840	4453.5082	0.676931503	222.67541	17.21155019	7.729434603	96469000	27024.292	28.55771393	1351.2146	545.9268955	40.40267886	771751935	112858.8132	54.70565661	22571.76264	1241.966605	5.502302255
ARB	CDC	47542L	CDCFS1	20230822-1639	Post SDWAN conversion	14	376840	2281.6243	1.321304301	114.081215	11.71029254	10.26487361	96469000	23692.8314	32.57322804	1184.64157	228.749745	19.30961658	771751935	134987.5601	45.73766261	26997.51202	2508.343585	9.291017569
ARB	CH3	47542L	CH3FS1	20230822-1637	Post SDWAN conversion	13.08	376840	2043.525	1.475254768	102.17625	11.44036789	11.19669971	96469000	13963.5784	55.26892734	698.17892	147.8329717	21.17408124	771751935	73735.1916	83.7322769	14747.03832	630.8265955	4.277649395
ARB	DA11	47542L	DA11FS1	20230822-1700	Post SDWAN conversion	35.04	376840	4731.2858	0.637188309	236.56429	17.3340224	7.327404487	96469000	19217.5729	40.15866124	960.878645	312.0834715	32.4789684	771751935	143491.0623	43.02717801	28698.21246	4094.786517	14.26843753
ARB	DDC	47542L	DDCFS1	20230822-1642	Post SDWAN conversion	57.84	376840	8240.1411	0.365857813	412.007055	31.06876496	7.540833242	96469000	46029.8104	16.76635192	2301.49052	674.4085565	29.3031212	771751935	216340.6816	28.5383934	43268.13632	5446.976135	12.58888549
ARB	LAS04	47542L	LAS04FS1	20230822-1655	Post SDWAN conversion	61.8	376840	8258.0128	0.365066036	412.90064	29.67332381	7.186553116	96469000	46281.529	16.67516214	2314.07645	743.901573	32.14680193	771751935	207094.7661	29.81251335	41418.95322	2075.453917	5.010879695
ARB	NY7	47542L	NY7FS1	20230822-1653	Post SDWAN conversion	29.12	376840	4118.4739	0.731999297	205.923695	14.68304562	7.130333213	96469000	23647.0175	32.63633564	1182.350875	279.6744787	23.65410173	771751935	102681.8753	60.12760735	20536.37506	1188.444911	5.787023794
ARB	SE4	47542L	SE4FS1	20230822-1647	Post SDWAN conversion	64.6	376840	8864.017	0.340107651	443.20085	33.71601149	7.607388725	96469000	54980.1728	14.03691478	2749.00864	597.3556036	21.72985544	771751935	261441.8421	23.6152539	52288.36842	3015.99762	5.768008663
AST	CDC	47705L	CDCFS1	20230718-1715	Post SDWAN conversion	31.4	376840	4646.8035	0.648772861	232.340175	20.630459	8.879419584	96469000	18294.0796	42.18588838	914.70398	279.0792864	30.51033913	771751935	53820.7457	114.7144173	10764.14914	266.0186453	2.471339274
AST	CH3	47705L	CH3FS1	20230718-1739	Post SDWAN conversion	31.24	376840	4309.0976	0.699617479	215.45488	15.98733534	7.420270703	96469000	28373.1318	27.20009921	1418.65659	631.9924758	44.54865823	771751935	102921.9071	59.9873793	20584.38142	606.4695358	2.946260679
AST	DA11	47705L	DA11FS1	20230718-1714	Post SDWAN conversion	9.32	376840	2829.1097	1.065607318	141.455485	14.78203801	10.44995746	96469000	11822.8555	65.2762778	591.142775	178.8319655	30.2519075	771751935	40684.7116	151.7527159	8136.94232	395.7265677	4.86333259
AST	DDC	47705L	DDCFS1	20230718-1717	Post SDWAN conversion	41.76	376840	6412.6917	0.47011772	320.634585	93.92603888	29.29379526	96469000	144903.3945	5.32597599	7245.169725	1365.544766	18.84765738	771751935	1142968.889	5.401735377	228593.7777	57259.29973	25.04849445
AST	SE4	47705L	SE4FS1	20230718-1742	Post SDWAN conversion	61.32	376840	8593.7606	0.350803349	429.68803	29.92358303	6.964025279	96469000	32167.1613	23.99192123	1608.358065	541.6458468	33.67694412	463051161	57380.5675	64.55860319	19126.85583	351.8831141	1.839733185
AUS	AT4	51285L	AT4FS1	20230829-1056	Post SDWAN conversion	28.72	376840	3992.265	0.755140252	199.61325	14.25488926	7.14125403	96469000	22350.2167	34.52995603	1117.510835	235.8610813	21.10593239	771751935	105776.8756	58.36829123	21155.37512	383.587507	1.813191706
AUS	CDC	51285L	CDCFS1	20230829-1037	Post SDWAN conversion	29.12	376840	4177.3447	0.721683322	208.867235	13.94340971	6.675728584	96469000	24751.1287	31.18047703	1237.556435	258.782555	20.910768	771751935	108004.1289	57.16462456	21600.82578	406.6813383	1.882711997
AUS	CH3	51285L	CH3FS1	20230829-1042	Post SDWAN conversion	31.6	376840	4379.6902	0.688340924	218.98451	16.43232471	7.503875371	96469000	29164.4718	26.46205991	1458.22359	570.8920875	39.14983213	771751935	111199.8662	55.52178875	22239.97324	3295.32853	14.81714252
AUS	DA11	51285L	DA11FS1	20230829-1035	Post SDWAN conversion	9.32	376840	1532.4026	1.9673159	76.62013	8.604849269	11.23053337	96469000	13601.2387	56.74130254	680.061935	258.5668624	38.0210756	771751935	74042.1124	83.38518824	14808.42248	437.5346133	2.954633513
AUS	DDC	51285L	DDCFS1	20230829-1040	Post SDWAN conversion	29.88	376840	4243.9542	0.710356394	212.19771	15.42905079	7.271073184	96469000	25789.9427	29.92453333	1289.497135	605.2035182	46.93329685	771751935	108651.6537	56.82394395	21730.33074	2438.971464	11.22381197
AUS	LAS04	51285L	LAS04FS1	20230829-1054	Post SDWAN conversion	35.88	376840	5569.3388	0.541306627	278.46694	20.60189172	7.39832589	96469000	22604.8339	34.14101618	1130.241695	397.7077324	35.18784824	771751935	96266.4753	64.13463733	19253.29506	3206.413332	16.65384196
AUS	NY7	51285L	NY7FS1	20230829-1051	Post SDWAN conversion	45.72	376840	6285.8639	0.47960313	314.293195	23.0261139	7.326316404	96469000	30436.0471	25.35651221	1521.802355	378.847568	24.89466301	771751935	127456.96	48.44000265	25491.392	783.7071916	3.074399356
AUS	SE4	51285L	SE4FS1	20230829-1045	Post SDWAN conversion	61.28	376840	8333.4284	0.361762273	416.67142	31.27211323	7.505221554	96469000	53459.9132	14.43608779	2672.99566	1401.807043	52.44329663	771751935	218951.0855	28.19814967	43790.2171	1370.212849	3.129038721
AUS	YYC01	51285L	ADCFS1	20230829-1059	Post SDWAN conversion	60.16	376840	8352.6694	0.360928927	417.63347	31.34614409	7.50565899	96469000	48604.8114	15.87809885	2430.24057	626.6097154	25.78385544	771751935	232016.4704	26.61024655	46403.29408	2613.601173	5.632361291
BIL	AT4	51285L	AT4FS1	20230602-1132	Post SDWAN conversion	51.28	376840	7025.5538	0.429107809	351.27769	26.0704636	7.421610976	96469000	33660.035	22.92784306	1683.00175	429.8824127	25.54260046	771751935	144888.3355	42.61223278	28977.6671	1071.802302	3.698718391
BIL	CDC	51285L	CDCFS1	20230602-1110	Post SDWAN conversion	56.16	376840	7458.6032	0.404193643	372.93016	37.70252276	10.1098079	96469000	35699.5153	21.61799659	1784.975765	484.7833578	27.15910027	771751935	144085.7234	42.84959907	28817.14468	478.431636	1.660232619
